case;name;year;partial_year;months_observed;equity_start;equity_end;profit_equity_usd;profit_booked_usd;opened_cycles;closed_cycles;positive_complete_months;negative_complete_months;zero_complete_months;negative_observed_months;usd_return_percent;brl_return_percent;selic_return_brl_percent;excess_vs_selic_brl_pp;fx_start;fx_end;fx_start_date;fx_end_date;start;end_exclusive;selic_observations
1;HERMES_REFERENCIA;2022;False;12;10000.0;24297.77;14297.77;14297.77;45;45;8;3;1;3;142.9777;127.18121051697877;12.390989066133095;114.79022145084568;5.5805;5.2177;2021-12-31;2022-12-30;2022-01-01;2023-01-01;251
1;HERMES_REFERENCIA;2023;False;12;24297.77;31986.5;7688.73;7688.73;50;50;6;6;0;6;31.64376813180798;22.147109771838544;13.039434525537752;9.107675246300792;5.2177;4.8413;2022-12-30;2023-12-29;2023-01-01;2024-01-01;249
1;HERMES_REFERENCIA;2024;False;12;31986.5;53456.26;21469.76;21469.76;66;66;9;3;0;3;67.12131680552733;113.75773656969551;10.875983174468807;102.8817533952267;4.8413;6.1923;2023-12-29;2024-12-31;2024-01-01;2025-01-01;253
1;HERMES_REFERENCIA;2025;False;12;53456.26;148281.94;94825.68;94825.68;60;60;10;1;1;1;177.3892898605327;146.4846387495107;14.324226892249126;132.16041185726158;6.1923;5.5024;2024-12-31;2025-12-31;2025-01-01;2026-01-01;252
1;HERMES_REFERENCIA;2026;True;9;148281.94;214912.54;66630.6;66630.6;40;40;4;4;0;4;44.93507435902174;34.119731684586164;9.77658073550196;24.343150949084205;5.5024;5.0918;2025-12-31;2026-09-11;2026-01-01;2026-09-12;174
2;HERMES_PIVO_CONTINUIDADE;2022;False;12;10000.0;24922.19;14922.19;14922.19;57;57;7;5;0;5;149.2219;133.01946198906907;12.390989066133095;120.62847292293597;5.5805;5.2177;2021-12-31;2022-12-30;2022-01-01;2023-01-01;251
2;HERMES_PIVO_CONTINUIDADE;2023;False;12;24922.19;39018.24;14096.05;14096.05;54;54;7;5;0;5;56.560238085015804;45.26612887689729;13.039434525537752;32.22669435135954;5.2177;4.8413;2022-12-30;2023-12-29;2023-01-01;2024-01-01;249
2;HERMES_PIVO_CONTINUIDADE;2024;False;12;39018.24;56100.05;17081.81;17081.81;71;71;8;4;0;4;43.77903770134173;83.90162459628992;10.875983174468807;73.02564142182112;4.8413;6.1923;2023-12-29;2024-12-31;2024-01-01;2025-01-01;253
2;HERMES_PIVO_CONTINUIDADE;2025;False;12;56100.05;144848.87;88748.82;88748.82;74;74;8;4;0;4;158.19739911105248;129.43096569427436;14.324226892249126;115.10673880202523;6.1923;5.5024;2024-12-31;2025-12-31;2025-01-01;2026-01-01;252
2;HERMES_PIVO_CONTINUIDADE;2026;True;9;144848.87;201523.99;56675.12;56675.12;43;43;4;4;0;4;39.127070856679794;28.74513292164186;9.77658073550196;18.968552186139902;5.5024;5.0918;2025-12-31;2026-09-11;2026-01-01;2026-09-12;174
3;HERMES_PIVO_INICIO;2022;False;12;10000.0;24614.58;14614.58;14225.57;67;66;7;5;0;5;146.1458;130.14334569662216;12.390989066133095;117.75235663048906;5.5805;5.2177;2021-12-31;2022-12-30;2022-01-01;2023-01-01;251
3;HERMES_PIVO_INICIO;2023;False;12;24614.58;36655.25;12040.67;12429.68;63;64;8;4;0;4;48.91682084358133;38.17410060946974;13.039434525537752;25.13466608393199;5.2177;4.8413;2022-12-30;2023-12-29;2023-01-01;2024-01-01;249
3;HERMES_PIVO_INICIO;2024;False;12;36655.25;60480.5;23825.25;23825.25;76;76;9;3;0;3;64.99819261906548;111.0421391268955;10.875983174468807;100.16615595242669;4.8413;6.1923;2023-12-29;2024-12-31;2024-01-01;2025-01-01;253
3;HERMES_PIVO_INICIO;2025;False;12;60480.5;152925.56;92445.06;92445.06;83;83;10;2;0;2;152.85101809674194;124.68023867957184;14.324226892249126;110.35601178732271;6.1923;5.5024;2024-12-31;2025-12-31;2025-01-01;2026-01-01;252
3;HERMES_PIVO_INICIO;2026;True;9;152925.56;179116.06;26190.5;26190.5;53;53;4;4;0;5;17.126306419933986;8.386109157643913;9.77658073550196;-1.3904715778580474;5.5024;5.0918;2025-12-31;2026-09-11;2026-01-01;2026-09-12;174
