month;partial_month;case1_equity_usd;case1_booked_usd;case1_return_percent;case1_equity_end;case1_opened_cycles;case1_delta_vs_reference_usd;case2_equity_usd;case2_booked_usd;case2_return_percent;case2_equity_end;case2_opened_cycles;case2_delta_vs_reference_usd;case3_equity_usd;case3_booked_usd;case3_return_percent;case3_equity_end;case3_opened_cycles;case3_delta_vs_reference_usd
2022-01;False;-2651.76;-2651.76;-26.5176;7348.24;6;0.0;-2651.76;-2651.76;-26.5176;7348.24;6;0.0;74.36;74.36;0.7436;10074.36;6;2726.12
2022-02;False;1639.75;1639.75;22.31486723351442;8987.99;5;0.0;5180.79;5180.79;70.50382132320121;12529.03;5;3541.04;5180.79;5180.79;51.42549998213286;15255.15;5;3541.04
2022-03;False;6358.59;6358.59;70.74540581375814;15346.58;5;0.0;6358.59;6358.59;50.750856211534334;18887.62;5;0.0;5557.23;5557.23;36.428550358403555;20812.38;6;-801.36
2022-04;False;216.27;216.27;1.4092390617323207;15562.85;5;0.0;2670.98;2670.98;14.141432324453795;21558.6;7;2454.71;2669.69;2670.98;12.827413299199803;23482.07;8;2453.42
2022-05;False;-513.8;-513.8;-3.3014518548980423;15049.05;1;0.0;-1136.6;-1136.6;-5.2721419758240335;20422.0;2;-622.8;-3815.49;-3816.78;-16.248524938389163;19666.58;4;-3301.69
2022-06;False;0.0;0.0;0.0;15049.05;0;0.0;-754.29;-754.29;-3.6935167956125747;19667.71;1;-754.29;-1172.79;-1172.79;-5.963365262287597;18493.79;2;-1172.79
2022-07;False;4287.42;2656.4;28.48963888085959;19336.47;5;0.0;4287.42;2656.4;21.799284207464925;23955.13;5;0.0;3755.22;2124.2;20.305302482617137;22249.01;6;-532.2
2022-08;False;1227.39;2858.41;6.347539132013237;20563.86;3;0.0;312.8;1943.82;1.3057745877396616;24267.93;5;-914.59;-19.7;1611.32;-0.08854326552057822;22229.31;6;-1247.09
2022-09;False;-1496.09;-1254.59;-7.275336439754015;19067.77;3;0.0;-1496.09;-1254.59;-6.164885097328037;22771.84;3;0.0;-1496.09;-1254.59;-6.730258384088395;20733.22;3;0.0
2022-10;False;627.0;385.5;3.288271255631886;19694.77;2;0.0;627.0;385.5;2.753400691380231;23398.84;2;0.0;-210.5;-452.0;-1.0152788616529416;20522.72;3;-837.5
2022-11;False;4009.67;4009.67;20.35905979100035;23704.44;5;0.0;2907.67;2907.67;12.426556188255486;26306.51;7;-1102.0;2386.97;2386.97;11.630865694215972;22909.69;8;-1622.7
2022-12;False;593.33;593.33;2.503033187031628;24297.77;5;0.0;-1384.32;-1384.32;-5.262271582205317;24922.19;9;-1977.65;1704.89;1315.88;7.4417855501318435;24614.58;10;1111.56
2023-01;False;-1354.49;-3929.06;-5.574544495235571;22943.28;6;0.0;6775.34;4200.77;27.185973624308296;31697.53;4;8129.83;6909.35;4723.79;28.070151918090822;31523.93;3;8263.84
2023-02;False;-5100.75;-2526.18;-22.231999958157683;17842.53;0;0.0;-5100.75;-2526.18;-16.0919478583978;26596.78;0;0.0;-5453.75;-2879.18;-17.300349290205887;26070.18;1;-353.0
2023-03;False;3224.71;3224.71;18.073165632900714;21067.24;6;0.0;1827.61;1827.61;6.8715461044532455;28424.39;7;-1397.1;1191.51;1191.51;4.570394220523219;27261.69;8;-2033.2
2023-04;False;-1762.69;-1762.69;-8.366971658366259;19304.55;4;0.0;-1762.69;-1762.69;-6.201329210582883;26661.7;4;0.0;611.71;611.71;2.2438447506372494;27873.4;5;2374.4
2023-05;False;2549.41;2571.91;13.206264844298365;21853.96;6;0.0;2365.41;2387.91;8.871939898806152;29027.11;7;-184.0;1828.51;1851.01;6.560053671242116;29701.91;8;-720.9
2023-06;False;-2135.66;-2158.16;-9.7724165322898;19718.3;3;0.0;-2601.16;-2623.66;-8.961140120390903;26425.95;4;-465.5;-3047.76;-3070.26;-10.261158289147062;26654.15;5;-912.1
2023-07;False;506.35;506.35;2.567919141102428;20224.65;9;0.0;506.35;506.35;1.9161089762146677;26932.3;9;0.0;206.65;206.65;0.7753014070979566;26860.8;10;-299.7
2023-08;False;607.75;521.81;3.00499637818207;20832.4;4;0.0;975.25;889.31;3.621116651752728;27907.55;4;367.5;975.25;889.31;3.6307555992375504;27836.05;4;367.5
2023-09;False;-2122.12;-2036.18;-10.186632361129778;18710.28;2;0.0;-2122.12;-2036.18;-7.604107132299324;25785.43;2;0.0;-2309.92;-2223.98;-8.298303818250075;25526.13;3;-187.8
2023-10;False;10607.79;10607.79;56.6949826512484;29318.07;4;0.0;10607.79;10607.79;41.13869731860202;36393.22;4;0.0;10607.79;10607.79;41.556593185100915;36133.92;4;0.0
2023-11;False;-1798.57;-1798.57;-6.134680761728177;27519.5;3;0.0;-2205.27;-2205.27;-6.059562742730652;34187.95;4;-406.7;-3516.46;-3516.46;-9.731742362854625;32617.46;6;-1717.89
2023-12;False;4467.0;4467.0;16.23212631043442;31986.5;3;0.0;4830.29;4830.29;14.128633041758865;39018.24;5;363.29;4037.79;4037.79;12.379228793413098;36655.25;6;-429.21
2024-01;False;808.02;808.02;2.5261282103387366;32794.52;3;0.0;321.72;321.72;0.8245374471016632;39339.96;4;-486.3;2154.92;2154.92;5.878885016471037;38810.17;5;1346.9
2024-02;False;-2617.8;-2617.8;-7.9824312110681905;30176.72;7;0.0;-2410.8;-2410.8;-6.128120109934021;36929.16;7;207.0;-685.79;-685.79;-1.767036835963357;38124.38;8;1932.01
2024-03;False;4394.79;1444.27;14.563511209965828;34571.51;5;0.0;4394.79;1444.27;11.900595626870473;41323.95;5;0.0;3920.09;969.57;10.282370493631634;42044.47;6;-474.7
2024-04;False;3832.39;6782.91;11.085399509596197;38403.9;6;0.0;5236.79;8187.31;12.672530094533558;46560.74;5;1404.4;4386.39;7336.91;10.432739430417366;46430.86;6;554.0
2024-05;False;1535.46;1535.46;3.9981876840633372;39939.36;4;0.0;1147.48;1147.48;2.464479731207021;47708.22;4;-387.98;1085.39;1085.39;2.3376478488660344;47516.25;4;-450.07
2024-06;False;-2072.58;-1931.99;-5.189317004578942;37866.78;4;0.0;-2072.58;-1931.99;-4.344282809125975;45635.64;4;0.0;-2072.58;-1931.99;-4.361834109383632;45443.67;4;0.0
2024-07;False;2086.34;1945.75;5.509684213973303;39953.12;5;0.0;6404.98;6264.39;14.035039280702538;52040.62;5;4318.64;5991.09;5850.5;13.183552296722514;51434.76;6;3904.75
2024-08;False;-2805.67;-2805.67;-7.022405258963505;37147.45;10;0.0;-2805.67;-2805.67;-5.391307789953309;49234.95;10;0.0;-3667.37;-3667.37;-7.130139228801689;47767.39;11;-861.7
2024-09;False;6691.1;6691.1;18.01227271320104;43838.55;6;0.0;6691.1;6691.1;13.590142774594064;55926.05;6;0.0;6307.6;6307.6;13.204824462881476;54074.99;7;-383.5
2024-10;False;2563.71;2563.71;5.848072073551703;46402.26;7;0.0;484.42;484.42;0.8661795352970575;56410.47;9;-2079.29;459.91;459.91;0.8505040870095399;54534.9;10;-2103.8
2024-11;False;6715.86;6715.86;14.473131265589219;53118.12;3;0.0;355.33;355.33;0.6299007967847103;56765.8;5;-6360.53;5891.54;5891.54;10.803247094979545;60426.44;3;-824.32
2024-12;False;338.14;338.14;0.6365812645477664;53456.26;6;0.0;-665.75;-665.75;-1.1728012289089558;56100.05;7;-1003.89;54.06;54.06;0.08946414847540249;60480.5;6;-284.08
2025-01;False;7087.36;7087.36;13.258241410828218;60543.62;7;0.0;6270.88;6270.88;11.178029253093356;62370.93;8;-816.48;6270.88;6270.88;10.368432800654757;66751.38;8;-816.48
2025-02;False;8522.66;8522.66;14.076891999520345;69066.28;8;0.0;8522.66;8522.66;13.664474780158;70893.59;8;0.0;8522.66;8522.66;12.767765999744125;75274.04;8;0.0
2025-03;False;3725.86;-410.15;5.394615143598294;72792.14;10;0.0;6544.01;2408.0;9.230749916882472;77437.6;9;2818.15;9019.72;4883.71;11.98251083640522;84293.76;11;5293.86
2025-04;False;15583.59;19719.6;21.408341614905126;88375.73;1;0.0;22386.2;26522.21;28.90869551742306;99823.8;2;6802.61;22386.2;26522.21;26.557363202210933;106679.96;2;6802.61
2025-05;False;0.0;0.0;0.0;88375.73;0;0.0;-1874.29;-1874.29;-1.8775983282543842;97949.51;1;-1874.29;-3137.38;-3137.38;-2.940927236943096;103542.58;2;-3137.38
2025-06;False;2535.72;2535.72;2.869249283711716;90911.45;2;0.0;-690.07;-690.07;-0.7045160307591125;97259.44;4;-3225.79;3438.02;3438.02;3.32039244144776;106980.6;6;902.3
2025-07;False;33.83;33.83;0.03721203434770868;90945.28;5;0.0;-387.27;-387.27;-0.39818242835862516;96872.17;6;-421.1;2550.86;2550.86;2.384413622656818;109531.46;8;2517.03
2025-08;False;7190.06;7190.06;7.905918811839383;98135.34;3;0.0;4612.59;5146.08;4.761522323697301;101484.76;6;-2577.47;4612.59;5146.08;4.211201055842769;114144.05;6;-2577.47
2025-09;False;18456.4;18456.4;18.80708825179594;116591.74;5;0.0;16036.0;15130.01;15.801387321603755;117520.76;8;-2420.4;16036.0;15130.01;14.048914507589314;130180.05;8;-2420.4
2025-10;False;20713.57;20713.57;17.765898338938932;137305.31;7;0.0;14252.02;14624.52;12.127236073013822;131772.78;8;-6461.55;14252.02;14624.52;10.947929425438076;144432.07;8;-6461.55
2025-11;False;16929.38;16929.38;12.329734370797459;154234.69;3;0.0;13263.44;13263.44;10.065386796878688;145036.22;4;-3665.94;8680.84;8680.84;6.010327207800871;153112.91;6;-8248.54
2025-12;False;-5952.75;-5952.75;-3.8595402888935038;148281.94;9;0.0;-187.35;-187.35;-0.12917462962010456;144848.87;10;5765.4;-187.35;-187.35;-0.12236068140824964;152925.56;10;5765.4
2026-01;False;55237.81;55237.81;37.25187976364485;203519.75;9;0.0;52678.71;52678.71;36.36805036863594;197527.58;10;-2559.1;50091.01;50091.01;32.755158784443886;203016.57;11;-5146.8
2026-02;False;-13956.34;-13956.34;-6.857486804106236;189563.41;5;0.0;-13956.34;-13956.34;-7.0655145980120855;183571.24;5;0.0;-21548.9;-21548.9;-10.61435527159187;181467.67;6;-7592.56
2026-03;False;16272.21;-2606.7;8.584045834583794;205835.62;2;0.0;12979.01;-5899.9;7.070285083872616;196550.25;3;-3293.2;8997.01;-9881.9;4.957913439898137;190464.68;4;-7275.2
2026-04;False;-1378.72;17500.19;-0.6698160405861726;204456.9;3;0.0;-3890.41;14988.5;-1.9793462486056366;192659.84;4;-2511.69;-4392.61;14988.5;-2.3062596172686716;186072.07;5;-3013.89
2026-05;False;-5026.75;-5026.75;-2.458586626325646;199430.15;2;0.0;-7147.34;-7147.34;-3.7098234899395743;185512.5;3;-2120.59;-6975.82;-8991.73;-3.7489882280559357;179096.25;4;-1949.07
2026-06;False;-2400.8;-2400.8;-1.2038300126635817;197029.35;1;0.0;-2400.8;-2400.8;-1.2941445994205243;183111.7;1;0.0;-8506.6;-6992.89;-4.749736524354921;170589.65;2;-6105.8
2026-07;False;4690.21;4690.21;2.3804626062056236;201719.56;6;0.0;5219.31;5219.31;2.850342168195697;188331.01;5;529.1;2835.72;2835.72;1.6623048350236957;173425.37;6;-1854.49
2026-08;False;13192.98;13192.98;6.540258168320415;214912.54;12;0.0;13192.98;13192.98;7.005208542130157;201523.99;12;0.0;13192.98;13192.98;7.60729528788089;186618.35;12;0.0
2026-09;True;0.0;0.0;0.0;214912.54;0;0.0;0.0;0.0;0.0;201523.99;0;0.0;-7502.29;-7502.29;-4.020124494724126;179116.06;3;-7502.29
